"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73","Topic 74","Topic 75","Topic 76","Topic 77","Topic 78","Topic 79","Topic 80","Topic 81","Topic 82","Topic 83","Topic 84","Topic 85","Topic 86","Topic 87","Topic 88","Topic 89","Topic 90","Topic 91","Topic 92","Topic 93","Topic 94","Topic 95","Topic 96","Topic 97","Topic 98","Topic 99","Topic 100"
"1","back","car","manager","sex","new","fart","baby","farmer","number","computer","letter","american","young_man","box","police","well","water","priest","free","tree","black","head","plane","judge","life","minute","man","woman","more","hand","bar","eye","people","child","order","brain","difference","word","guy","old","money","problem","question","please","blonde","human","room","bag","officer","joke","thing","fat","year","people","shit","world","doctor","kid","store","house","brother","shotgun","ball","window","door","knock","front","way","bathroom","elephant","day","work","face","pants","dog","book","many","little","wife","teacher","boy","hey","week","girl","foot","illegal","friend","horse","lawyer","chicken","church","table","good","party","company","cat","mother","body","paper","first"
"2","wall","driver","night","lady","line","group","fire","pig","phone","mouse","name","chinese","beautiful","chocolate","gun","yes","fish","point","law","few","redneck","leg","seat","case","age","hour","first_man","man","mile","bill","beer","finger","person","parent","large","engineer","common","cow","same","old_man","dollar","wrong","answer","hotel","brunette","toy","bed","bottle","cop","site","way","mama","month","one","ass","country","patient","voice","customer","home","sister","rule","hole","computer","floor","fan","top","story","toilet","animal","end","job","heart","bus","name","dear","lightbulb","big","husband","class","father","well","day","other","ground","law","game","dead","other","road","service","restaurant","bad","part","female","coffee","mom","light","note","second"
"3","time","window","momma","condom","time","one","pregnant","field","machine","help","word","french","one","time","death","sir","cold","nun","government","top","white","right","pilot","truth","heaven","time","second_man","breast","half","time","bartender","ear","same","family","pizza","life","one","milk","next_day","year","bank","way","exam","yesterday","blond","cat","night","warning","bird","page","lot","stupid","time","car","hell","great","hospital","small","clerk","neighbor","year_old","passenger","golf","system","next","enough","pool","general","shower","bear","run","boss","look","train","tail","other","light_bulb","better","couple","student","son","sure","today","love","building","street","team","commandment","attorney","sign","preacher","food","better","wedding","male","cup","daughter","naked","picture","third"
"4","oil","truck","dumb","drug","next","way","department","farm","call","key","more","pope","nice","rock","accident","sorry","hot","rabbi","bridge","short","red","arm","flight","court","indian","clock","penis","women","pound","else","drink","hair","different","gay","other","prime","guard","bull","buddy","young","much","morning","test","today","redhead","good","roommate","plastic","ticket","user","important","momma","last","water","chair","place","nurse","frog","owner","street","happy","car","club","virus","open","baseball","watch","ship","kind","lion","lake","office","roundhouse_kick","date","tiger","next","wish","kiss","marriage","school","dad","yeah","card","girlfriend","inch","city","player","local","good","town","pastor","dinner","lot","dress","employee","mouth","dad","temperature","piece","last"
"5","king","road","poor","sexual","idea","time","best","duck","hello","power","only","german","perfect","one","record","reply","parrot","reply","time","bike","shoe","side","agent","way","good","bell","third_man","wrong","time","security","drunk","long","only","home","conversation","mistake","prison","other","2nd","gentleman","cent","sure","one","room","hair","game","sleep","product","policeman","information","stuff","tooth","island","bottom","day","land","office","time","shop","holiday","birthday","seat","shot","file","elevator","small","blah","soldier","mirror","rabbit","rug","lunch","turkey","station","chain","god","genies","one","honey","professor","little_boy","fine","next_day","boyfriend","piece","state","football","cliff","funeral","other_side","minister","egg","reason","dinner","new","vet","little_girl","kind","video","base"
"6","place","side","grandma","cigarette","much","common","plant","bucket","name","email","average","mexican","cowboy","cookie","crime","okay","boat","candy","bad_news","right","shirt","left","air","witness","other","degree","few_minute","need","hour","back","glass","other","one","school","voice","other","favorite","costello","first_guy","older","check","while","correct","own","red","door","hour","box","donkey","other","time","ugly","next","hell","mountain","history","pain","little","counter","one","uncle","driver","green","program","stair","ceiling","bottom","enemy","towel","monkey","monkey","time","blood","other","walk","hard","apple","prof","married","grade","well","okay","time","date","rope","person","real","great","grave","way","congregation","bread","angel","best","interviewer","tea","mommy","part","tape","fourth"
"7","true","wheel","dude","pharmacist","deal","good","right","tourist","message","button","first","japanese","couple","full","head","right","air","catholic","good_news","nut","suit","wooden","passenger","time","great","day","rest","item","weight","other","can","blind","last","marriage","time","idiot","more","sentence","sure","elderly","account","usage","sure","dear","head","food","window","food","sorry","type","whole","yellow","ready","day","monk","famous","psychiatrist","shout","sale","grass","family","amendment","course","error","dentist","double","board","private","sure","snake","hallway","worker","head","banana","butcher","whole","none","wolf","love","principal","young","cool","flower","fun","roof","public","coach","same","client","local","morning","waiter","luck","bride","plan","pill","daddy","moment","camera","first_one"
"8","matter","front","telephone_store","worm","sale","whole","fact","sheep","telephone","customer","language","italian","young","dark","knife","nice","wood","good_morning","tax","ugly","blue","artist","airplane","charge","chief","lie","brick","equal","other","sound","shot","nose","air","great","last","experience","good","more","1st","well","change","master","final","shop","turn","other","floor","mouth","police_officer","list","only","scale","better","fire","bitch","city","pill","own","salesman","night","grandmother","other","golfer","version","trick","paint","stranger","army","butt","cage","forest","good","deer","track","radio","funny","beach","hey","night","college","yellow_golf_ball","wow","tomorrow","okay","tall","place","time","edge","department","side","crowd","meal","big","direction","management","close","last_night","soul","way","full"
"9","great","highway","tomato","safe","several","most","month","well","please","desk","time","russian","smart","camel","state","upset","ice","bishop","right","dirty","pair","next","engine","defendant","rest","shoulder","embarrassed","several","high","server","sit","lesbian","art","kid","food","cell","period","office","amazing","time","business","solution","last","soap","dumb","time","time","use","police","such","rat","mouth","many_year","possible","pot","largest","care","fast","pet","more","grandfather","call","round","software","doorbell","lot","stuff","tank","roll","zoo","last","meeting","single","step","pet","mind","lamp","voice","divorce","senior","proud","like","report","relationship","height","man","sport","rancher","old_woman","middle","member","kitchen","same","front","candidate","open","little","earth","scream","time"
"10","jack","gas","mamma","smoke","market","gas","hard","sweet","line","address","moon","jewish","handsome","chip","story","receptionist","winter","true","tha","last","color","tattoo","airport","guilty","big","afternoon","special","dress","low","drip","whiskey","tongue","cake","half","one","day","better","trouble","cake","age","rich","tomorrow","many","best","blanket","bed","ghost","direction","license","web_site","better","side","last_year","word","damn","peace","surgery","movie","price","study","cousin","person","dick","bug","front_door","same","bean","moron","stall","hat","trapdoor","coworker","world","turn","basket","people","pile","river","happy","homework","family","buck","weekend","movie","short","more","other","example","defense","own","back","waitress","mind","guest","interview","table","room","degree","large","pause"
